SPCD,COMMON_NAME,GENUS,SPECIES,SCIENTIFIC_NAME
10,balsam fir,Abies,balsamea,Abies balsamea
11,Pacific silver fir,Abies,amabilis,Abies amabilis
12,noble fir,Abies,procera,Abies procera
15,white fir,Abies,concolor,Abies concolor
16,Shasta red fir,Abies,magnifica,Abies magnifica var. shastensis
17,grand fir,Abies,grandis,Abies grandis
18,California red fir,Abies,magnifica,Abies magnifica
19,subalpine fir,Abies,lasiocarpa,Abies lasiocarpa
20,bristlecone fir,Abies,bracteata,Abies bracteata
42,Alaska yellow-cedar,Cupressus,nootkatensis,Cupressus nootkatensis
43,Port-Orford-cedar,Chamaecyparis,lawsoniana,Chamaecyparis lawsoniana
68,juniper species,Juniperus,spp.,Juniperus spp.
71,Rocky Mountain juniper,Juniperus,scopulorum,Juniperus scopulorum
73,western larch,Larix,occidentalis,Larix occidentalis
81,incense-cedar,Calocedrus,decurrens,Calocedrus decurrens
90,Utah juniper,Juniperus,osteosperma,Juniperus osteosperma
91,Alligator juniper,Juniperus,deppeana,Juniperus deppeana
93,Engelmann spruce,Picea,engelmannii,Picea engelmannii
94,blue spruce,Picea,pungens,Picea pungens
95,white spruce,Picea,glauca,Picea glauca
96,sitka spruce,Picea,sitchensis,Picea sitchensis
97,black spruce,Picea,mariana,Picea mariana
98,red spruce,Picea,rubens,Picea rubens
100,eastern white pine,Pinus,strobus,Pinus strobus
101,whitebark pine,Pinus,albicaulis,Pinus albicaulis
105,limber pine,Pinus,flexilis,Pinus flexilis
107,southwestern white pine,Pinus,strobiformis,Pinus strobiformis
108,lodgepole pine,Pinus,contorta,Pinus contorta
110,Scots pine,Pinus,sylvestris,Pinus sylvestris
111,jack pine,Pinus,banksiana,Pinus banksiana
113,sand pine,Pinus,clausa,Pinus clausa
115,Table Mountain pine,Pinus,pungens,Pinus pungens
116,pitch pine,Pinus,rigida,Pinus rigida
117,sugar pine,Pinus,lambertiana,Pinus lambertiana
119,western white pine,Pinus,monticola,Pinus monticola
121,ponderosa pine,Pinus,ponderosa,Pinus ponderosa
122,ponderosa pine,Pinus,ponderosa,Pinus ponderosa
123,Monterey pine,Pinus,radiata,Pinus radiata
125,Jeffrey pine,Pinus,jeffreyi,Pinus jeffreyi
126,Coulter pine,Pinus,coulteri,Pinus coulteri
128,Arizona pine,Pinus,arizonica,Pinus arizonica
129,longleaf pine,Pinus,palustris,Pinus palustris
130,slash pine,Pinus,elliottii,Pinus elliottii
131,loblolly pine,Pinus,taeda,Pinus taeda
132,shortleaf pine,Pinus,echinata,Pinus echinata
200,red pine,Pinus,resinosa,Pinus resinosa
202,Douglas-fir,Pseudotsuga,menziesii,Pseudotsuga menziesii
211,bald cypress,Taxodium,distichum,Taxodium distichum
221,eastern redcedar,Juniperus,virginiana,Juniperus virginiana
222,one-seed juniper,Juniperus,monosperma,Juniperus monosperma
241,western hemlock,Tsuga,heterophylla,Tsuga heterophylla
242,mountain hemlock,Tsuga,mertensiana,Tsuga mertensiana
260,eastern hemlock,Tsuga,canadensis,Tsuga canadensis
261,Carolina hemlock,Tsuga,caroliniana,Tsuga caroliniana
263,western hemlock,Tsuga,heterophylla,Tsuga heterophylla
264,mountain hemlock,Tsuga,mertensiana,Tsuga mertensiana
311,pond cypress,Taxodium,ascendens,Taxodium ascendens
312,Atlantic white-cedar,Chamaecyparis,thyoides,Chamaecyparis thyoides
313,pondcypress,Taxodium,ascendens,Taxodium ascendens
315,northern white-cedar,Thuja,occidentalis,Thuja occidentalis
316,eastern redcedar,Juniperus,virginiana,Juniperus virginiana
317,juniper species,Juniperus,spp.,Juniperus spp.
318,ashe juniper,Juniperus,ashei,Juniperus ashei
330,redwood,Sequoia,sempervirens,Sequoia sempervirens
351,red alder,Alnus,rubra,Alnus rubra
370,white oak,Quercus,alba,Quercus alba
371,swamp white oak,Quercus,bicolor,Quercus bicolor
372,bur oak,Quercus,macrocarpa,Quercus macrocarpa
373,chestnut oak,Quercus,prinus,Quercus prinus
374,white oak,Quercus,alba,Quercus alba
375,paper birch,Betula,papyrifera,Betula papyrifera
391,sugar maple,Acer,saccharum,Acer saccharum
400,eastern cottonwood,Populus,deltoides,Populus deltoides
402,balsam poplar,Populus,balsamifera,Populus balsamifera
403,bigtooth aspen,Populus,grandidentata,Populus grandidentata
404,quaking aspen,Populus,tremuloides,Populus tremuloides
405,black cottonwood,Populus,trichocarpa,Populus trichocarpa
407,hybrid poplar,Populus,hybrids,Populus hybrids
409,eastern cottonwood,Populus,deltoides,Populus deltoides
421,willow species,Salix,spp.,Salix spp.
460,American basswood,Tilia,americana,Tilia americana
461,white basswood,Tilia,heterophylla,Tilia heterophylla
462,American basswood,Tilia,americana,Tilia americana
471,basswood species,Tilia,spp.,Tilia spp.
491,boxelder,Acer,negundo,Acer negundo
521,American elm,Ulmus,americana,Ulmus americana
531,red oak,Quercus,rubra,Quercus rubra
540,northern red oak,Quercus,rubra,Quercus rubra
541,scarlet oak,Quercus,coccinea,Quercus coccinea
543,pin oak,Quercus,palustris,Quercus palustris
544,cherrybark oak,Quercus,pagoda,Quercus pagoda
